iter	RMSE	MAE
0	28.14167805	16.19073206
1	27.18113596	15.49571511
2	26.55678177	14.88570514
3	25.85687905	14.30969763
4	25.30059686	13.77537674
5	24.77953276	13.27071148
6	24.13010187	12.73862974
7	23.6443411	12.25323526
8	23.13481581	11.80621151
9	22.51449179	11.36113021
10	22.06021688	10.93107099
11	21.63666537	10.53953416
12	21.28706473	10.19948912
13	20.87357117	9.831705015
14	20.41785608	9.467548963
15	20.08290886	9.144520875
16	19.66353712	8.8188268
17	19.36043056	8.519333433
18	19.1169665	8.246968071
19	18.77766733	7.969185232
20	18.4675644	7.713400853
21	18.14710175	7.455693573
22	17.88564712	7.222412518
23	17.55814545	6.977905817
24	17.40071673	6.791295554
25	17.19504495	6.597898546
26	16.98154281	6.400869147
27	16.77268554	6.225242858
28	16.5360034	6.042753072
29	16.35313844	5.881035934
30	16.2191778	5.743621947
31	16.08841825	5.609102046
32	15.76016427	5.46665139
33	15.52108034	5.308656896
34	15.12527918	5.14526604
35	14.92143277	5.004336664
36	14.80784988	4.898573981
37	14.6095973	4.773429185
38	14.50616578	4.676191947
39	14.41771918	4.587095553
40	14.21484185	4.483449886
41	14.09439228	4.385246702
42	13.98935887	4.293707955
43	13.82952217	4.205833421
44	13.73596888	4.124634223
45	13.58226369	4.02998935
46	13.50139166	3.964291565
47	13.41691304	3.892273264
48	13.31523136	3.81550885
49	13.21859812	3.749819804
50	13.12788563	3.692229862
51	13.00553564	3.638375084
52	12.94320689	3.59248003
53	12.86061881	3.539158357
54	12.8166038	3.502051062
55	12.6431363	3.438469554
56	12.54709258	3.379696615
57	12.24627161	3.311668286
58	11.94163268	3.241085365
59	11.65592879	3.183044199
60	11.55258673	3.133575597
61	11.51365831	3.10850536
62	11.47498707	3.075841701
63	11.42444076	3.044377542
64	11.32280019	3.003862718
65	11.23183929	2.966812372
66	11.17028848	2.934230963
67	11.1325461	2.909749739
68	11.06292263	2.876992064
69	11.01799441	2.846883647
70	10.99970658	2.827956841
71	10.91439338	2.795484968
72	10.8411996	2.767249099
73	10.61290707	2.724254337
74	10.58204096	2.699003977
75	10.56678081	2.685942329
76	10.52500066	2.664379674
77	10.48045652	2.640085426
78	10.47409053	2.63126094
79	10.42947036	2.61166603
80	10.31170376	2.587628005
81	10.17097905	2.555031233
82	10.12860233	2.535932553
83	10.07583959	2.514529311
84	10.07082815	2.509147833
85	10.02853615	2.491152444
86	9.989596067	2.4755949
87	9.984270405	2.467774296
88	9.741752649	2.437573369
89	9.711875353	2.421501566
90	9.490026911	2.387851917
91	9.314779236	2.365704662
92	9.282764689	2.351646364
93	9.21725849	2.332116043
94	9.203002205	2.32134779
95	8.997091995	2.296544496
96	8.930452633	2.278453362
97	8.866784568	2.260222699
98	8.832362677	2.245999128
99	8.812307719	2.235879511
100	8.802813404	2.226698721
101	8.747861077	2.213839457
102	8.713708617	2.202126338
103	8.711532953	2.196240092
