iter	Passed	Remaining
0	10	10736
1	20	10295
2	30	10173
3	40	10028
4	50	9998
5	60	9967
6	68	9778
7	78	9767
8	88	9700
9	96	9579
10	106	9540
11	115	9501
12	124	9475
13	133	9393
14	142	9382
15	151	9333
16	161	9328
17	170	9325
18	180	9311
19	189	9286
20	198	9276
21	208	9274
22	218	9279
23	227	9265
24	237	9243
25	247	9261
26	257	9281
27	267	9272
28	277	9294
29	288	9312
30	298	9328
31	307	9311
32	317	9307
33	327	9311
34	339	9365
35	349	9352
36	359	9349
37	368	9324
38	383	9445
39	391	9399
40	400	9368
41	409	9330
42	418	9310
43	427	9281
44	435	9247
45	444	9218
46	453	9193
47	462	9174
48	471	9148
49	479	9116
50	488	9090
51	496	9057
52	505	9038
53	514	9015
54	523	8987
55	532	8971
56	541	8953
57	551	8950
58	560	8941
59	569	8922
60	577	8895
61	586	8878
62	595	8859
63	604	8840
64	614	8833
65	624	8830
66	633	8819
67	642	8807
68	652	8799
69	661	8788
70	671	8787
71	680	8768
72	689	8759
73	699	8751
74	709	8753
75	718	8738
76	728	8730
77	738	8728
78	748	8722
79	757	8712
80	767	8703
81	777	8698
82	786	8689
83	795	8677
84	806	8678
85	815	8667
86	825	8664
87	835	8660
88	845	8652
89	854	8642
90	864	8633
91	874	8628
92	886	8647
93	896	8638
94	905	8625
95	914	8611
96	923	8601
97	933	8589
98	942	8575
99	951	8560
100	960	8551
101	970	8541
102	980	8537
103	990	8535
104	1000	8532
105	1011	8527
106	1020	8512
107	1028	8496
108	1038	8484
109	1046	8468
110	1055	8455
111	1064	8442
112	1073	8427
113	1082	8415
114	1091	8397
115	1100	8385
116	1108	8367
117	1117	8354
118	1127	8345
119	1136	8334
120	1145	8322
121	1154	8306
122	1163	8293
123	1172	8283
124	1181	8272
125	1190	8258
126	1199	8242
127	1208	8232
128	1217	8223
129	1227	8213
130	1236	8200
131	1244	8186
132	1254	8175
133	1263	8166
134	1272	8151
135	1281	8138
136	1290	8126
137	1298	8110
138	1307	8100
139	1317	8091
140	1327	8087
141	1336	8077
142	1346	8067
143	1355	8055
144	1364	8043
145	1372	8030
146	1381	8016
147	1391	8011
148	1400	7997
149	1409	7985
150	1417	7971
151	1426	7957
152	1435	7944
153	1444	7936
154	1453	7922
155	1462	7910
156	1470	7895
157	1479	7881
158	1487	7870
159	1496	7857
160	1505	7846
161	1514	7835
162	1524	7826
163	1533	7818
164	1542	7806
165	1551	7795
166	1560	7782
167	1569	7771
168	1578	7763
169	1587	7752
170	1596	7739
171	1605	7727
172	1614	7715
173	1622	7701
174	1632	7694
175	1640	7682
176	1649	7669
177	1658	7659
178	1667	7648
179	1676	7637
180	1685	7624
181	1693	7613
182	1703	7604
183	1711	7591
184	1721	7582
185	1729	7569
186	1737	7556
187	1746	7545
188	1755	7531
189	1763	7519
190	1772	7508
191	1781	7497
192	1790	7487
193	1799	7475
194	1808	7464
195	1816	7452
196	1825	7439
197	1833	7426
198	1842	7416
199	1850	7402
200	1860	7395
201	1869	7386
202	1878	7376
203	1887	7364
204	1896	7352
205	1905	7342
206	1915	7336
207	1923	7324
208	1932	7312
209	1940	7300
210	1949	7288
211	1958	7280
212	1966	7267
213	1978	7266
214	1987	7258
215	1997	7251
216	2007	7243
217	2016	7232
218	2025	7223
219	2034	7214
220	2044	7205
221	2053	7195
222	2062	7185
223	2072	7180
224	2083	7176
225	2091	7164
226	2100	7152
227	2109	7143
228	2118	7134
229	2128	7124
230	2137	7115
231	2146	7104
232	2154	7093
233	2164	7083
234	2172	7073
235	2181	7063
236	2190	7052
237	2198	7039
238	2207	7029
239	2216	7018
240	2224	7006
241	2233	6994
242	2241	6983
243	2250	6973
244	2259	6963
245	2268	6952
246	2277	6944
247	2287	6935
248	2296	6927
249	2306	6918
250	2315	6910
251	2325	6903
252	2335	6895
253	2343	6884
254	2352	6873
255	2360	6861
256	2369	6850
257	2378	6839
258	2387	6829
259	2395	6819
260	2404	6807
261	2412	6795
262	2420	6784
263	2429	6774
264	2438	6763
265	2447	6752
266	2455	6742
267	2465	6733
268	2474	6723
269	2483	6713
270	2491	6702
271	2500	6691
272	2509	6682
273	2518	6672
274	2527	6663
275	2535	6652
276	2545	6643
277	2554	6635
278	2563	6624
279	2572	6615
280	2581	6605
281	2590	6595
282	2598	6584
283	2607	6573
284	2616	6563
285	2625	6553
286	2634	6544
287	2642	6532
288	2651	6522
289	2660	6512
290	2669	6503
291	2678	6494
292	2686	6483
293	2695	6473
294	2705	6464
295	2713	6453
296	2722	6444
297	2731	6433
298	2739	6423
299	2748	6413
300	2756	6402
301	2765	6391
302	2773	6380
303	2782	6370
304	2791	6360
305	2800	6350
306	2809	6341
307	2818	6331
308	2826	6321
309	2836	6312
310	2845	6304
311	2855	6296
312	2870	6300
313	2880	6292
314	2889	6283
315	2899	6276
316	2908	6267
317	2918	6258
318	2926	6248
319	2936	6239
320	2946	6231
321	2955	6222
322	2964	6213
323	2972	6202
324	2982	6193
325	2991	6185
326	3000	6176
327	3010	6167
328	3019	6159
329	3028	6149
330	3040	6144
331	3051	6139
332	3061	6131
333	3072	6125
334	3080	6115
335	3090	6106
336	3099	6098
337	3110	6091
338	3119	6082
339	3129	6073
340	3138	6064
341	3150	6061
342	3159	6052
343	3169	6044
344	3180	6037
345	3191	6031
346	3200	6022
347	3209	6013
348	3220	6006
349	3230	5999
350	3240	5991
351	3249	5982
352	3263	5982
353	3274	5974
354	3284	5966
355	3294	5959
356	3305	5952
357	3314	5943
358	3326	5939
359	3336	5932
360	3347	5925
361	3357	5917
362	3369	5912
363	3379	5904
364	3389	5897
365	3399	5888
366	3423	5904
367	3433	5896
368	3444	5890
369	3461	5893
370	3478	5897
371	3490	5893
372	3500	5884
373	3510	5875
374	3519	5866
375	3530	5858
376	3539	5849
377	3548	5838
378	3557	5828
379	3567	5820
380	3576	5811
381	3586	5802
382	3596	5794
383	3606	5785
384	3615	5775
385	3624	5766
386	3633	5756
387	3643	5746
388	3653	5739
389	3667	5737
390	3678	5728
391	3705	5747
392	3715	5737
393	3726	5731
394	3736	5722
395	3746	5714
396	3756	5705
397	3765	5696
398	3774	5686
399	3785	5678
400	3798	5674
401	3808	5666
402	3819	5657
403	3829	5648
404	3840	5641
405	3849	5632
406	3859	5623
407	3869	5615
408	3882	5610
409	3893	5602
410	3903	5594
411	3913	5585
412	3924	5577
413	3933	5568
414	3943	5558
415	3953	5549
416	3963	5540
417	3973	5532
418	3983	5523
419	3994	5515
420	4003	5505
421	4012	5496
422	4025	5490
423	4038	5486
424	4049	5478
425	4059	5470
426	4073	5466
427	4083	5457
428	4095	5451
429	4109	5446
430	4121	5441
431	4133	5434
432	4144	5426
433	4156	5420
434	4167	5412
435	4178	5405
436	4190	5398
437	4200	5390
438	4216	5387
439	4225	5378
440	4237	5371
441	4250	5365
442	4261	5358
443	4271	5349
444	4281	5340
445	4292	5331
446	4302	5322
447	4312	5313
448	4321	5303
449	4333	5296
450	4342	5286
451	4352	5277
452	4362	5267
453	4372	5258
454	4381	5248
455	4391	5238
456	4401	5229
457	4412	5221
458	4427	5218
459	4448	5222
460	4460	5214
461	4474	5210
462	4489	5207
463	4504	5204
464	4517	5198
465	4530	5192
466	4542	5184
467	4553	5175
468	4563	5167
469	4580	5164
470	4592	5157
471	4606	5152
472	4621	5149
473	4633	5142
474	4643	5132
475	4654	5123
476	4667	5117
477	4677	5107
478	4687	5098
479	4697	5088
480	4708	5080
481	4723	5076
482	4735	5069
483	4745	5058
484	4755	5049
485	4765	5040
486	4775	5030
487	4785	5021
488	4795	5011
489	4805	5001
490	4814	4991
491	4825	4982
492	4834	4972
493	4844	4962
494	4855	4954
495	4866	4944
496	4876	4935
497	4887	4926
498	4896	4916
499	4907	4907
500	4916	4897
501	4926	4887
502	4936	4878
503	4948	4869
504	4958	4859
505	4968	4851
506	4979	4842
507	4989	4832
508	4999	4822
509	5009	4813
510	5020	4803
511	5029	4794
512	5040	4784
513	5050	4775
514	5061	4766
515	5071	4756
516	5080	4746
517	5089	4735
518	5100	4726
519	5109	4716
520	5119	4706
521	5128	4696
522	5139	4687
523	5148	4677
524	5158	4667
525	5168	4657
526	5178	4647
527	5188	4637
528	5204	4633
529	5216	4625
530	5233	4622
531	5250	4618
532	5260	4609
533	5270	4599
534	5280	4589
535	5292	4581
536	5304	4573
537	5317	4566
538	5327	4556
539	5337	4546
540	5347	4537
541	5358	4527
542	5373	4522
543	5387	4515
544	5399	4507
545	5410	4498
546	5420	4489
547	5432	4480
548	5443	4472
549	5453	4462
550	5465	4453
551	5477	4445
552	5495	4441
553	5505	4432
554	5515	4422
555	5525	4412
556	5536	4403
557	5547	4394
558	5557	4384
559	5568	4375
560	5579	4365
561	5588	4355
562	5599	4346
563	5610	4337
564	5621	4327
565	5630	4317
566	5640	4307
567	5650	4297
568	5660	4287
569	5670	4278
570	5680	4267
571	5690	4257
572	5701	4248
573	5714	4240
574	5726	4232
575	5738	4224
576	5752	4217
577	5762	4207
578	5773	4197
579	5783	4187
580	5793	4178
581	5803	4167
582	5813	4157
583	5822	4147
584	5833	4138
585	5844	4128
586	5855	4119
587	5866	4110
588	5876	4100
589	5886	4090
590	5896	4080
591	5907	4071
592	5917	4061
593	5926	4051
594	5936	4041
595	5946	4031
596	5957	4021
597	5969	4012
598	5979	4002
599	5989	3992
600	6000	3983
601	6009	3973
602	6019	3962
603	6029	3953
604	6039	3942
605	6047	3932
606	6058	3922
607	6067	3911
608	6076	3901
609	6086	3891
610	6095	3881
611	6123	3882
612	6146	3880
613	6169	3878
614	6198	3880
615	6208	3870
616	6220	3861
617	6231	3851
618	6243	3842
619	6254	3833
620	6268	3825
621	6279	3815
622	6288	3805
623	6300	3796
624	6312	3787
625	6321	3776
626	6332	3767
627	6345	3758
628	6356	3749
629	6367	3739
630	6378	3729
631	6389	3720
632	6399	3710
633	6410	3700
634	6420	3690
635	6431	3681
636	6443	3672
637	6453	3661
638	6463	3651
639	6472	3640
640	6483	3631
641	6492	3620
642	6501	3609
643	6510	3598
644	6520	3588
645	6529	3578
646	6539	3567
647	6548	3557
648	6557	3546
649	6568	3536
650	6579	3527
651	6589	3517
652	6598	3506
653	6607	3495
654	6617	3485
655	6627	3475
656	6636	3464
657	6645	3454
658	6655	3443
659	6665	3433
660	6674	3423
661	6684	3412
662	6693	3402
663	6703	3391
664	6712	3381
665	6722	3371
666	6731	3360
667	6742	3351
668	6755	3342
669	6769	3334
670	6780	3324
671	6790	3314
672	6799	3303
673	6810	3293
674	6847	3296
675	6857	3286
676	6867	3276
677	6875	3265
678	6885	3255
679	6894	3244
680	6904	3234
681	6913	3223
682	6922	3213
683	6931	3202
684	6940	3191
685	6950	3181
686	6959	3170
687	6969	3160
688	6978	3149
689	6987	3139
690	6996	3128
691	7006	3118
692	7016	3108
693	7027	3098
694	7036	3087
695	7045	3077
696	7055	3067
697	7064	3056
698	7074	3046
699	7083	3035
700	7093	3025
701	7103	3015
702	7112	3004
703	7122	2994
704	7132	2984
705	7142	2974
706	7152	2964
707	7162	2953
708	7173	2944
709	7183	2934
710	7192	2923
711	7203	2913
712	7212	2903
713	7223	2893
714	7232	2882
715	7242	2872
716	7251	2862
717	7260	2851
718	7270	2841
719	7279	2830
720	7289	2820
721	7299	2810
722	7308	2800
723	7318	2789
724	7328	2779
725	7338	2769
726	7348	2759
727	7359	2749
728	7368	2739
729	7378	2729
730	7388	2718
731	7397	2708
732	7407	2698
733	7416	2687
734	7427	2677
735	7437	2667
736	7446	2657
737	7456	2647
738	7465	2636
739	7474	2626
740	7483	2615
741	7492	2605
742	7502	2595
743	7511	2584
744	7520	2574
745	7529	2563
746	7538	2553
747	7549	2543
748	7558	2532
749	7568	2522
750	7578	2512
751	7588	2502
752	7597	2492
753	7607	2482
754	7616	2471
755	7625	2461
756	7635	2450
757	7644	2440
758	7654	2430
759	7662	2419
760	7671	2409
761	7681	2399
762	7691	2389
763	7700	2378
764	7714	2369
765	7724	2359
766	7734	2349
767	7745	2339
768	7756	2329
769	7766	2319
770	7775	2309
771	7786	2299
772	7796	2289
773	7809	2280
774	7823	2271
775	7836	2262
776	7848	2252
777	7863	2243
778	7874	2234
779	7885	2224
780	7897	2214
781	7907	2204
782	7916	2194
783	7927	2183
784	7938	2174
785	7949	2164
786	7959	2154
787	7969	2144
788	7980	2134
789	7990	2124
790	8001	2114
791	8010	2103
792	8021	2093
793	8030	2083
794	8040	2073
795	8050	2063
796	8060	2053
797	8069	2042
798	8079	2032
799	8089	2022
800	8099	2012
801	8110	2002
802	8119	1991
803	8128	1981
804	8139	1971
805	8149	1961
806	8160	1951
807	8170	1941
808	8180	1931
809	8191	1921
810	8200	1911
811	8210	1900
812	8220	1890
813	8230	1880
814	8240	1870
815	8250	1860
816	8259	1850
817	8268	1839
818	8278	1829
819	8288	1819
820	8298	1809
821	8308	1799
822	8318	1788
823	8327	1778
824	8337	1768
825	8348	1758
826	8358	1748
827	8368	1738
828	8380	1728
829	8390	1718
830	8400	1708
831	8410	1698
832	8421	1688
833	8431	1678
834	8441	1668
835	8450	1657
836	8460	1647
837	8470	1637
838	8480	1627
839	8491	1617
840	8500	1607
841	8509	1596
842	8519	1586
843	8529	1576
844	8539	1566
845	8549	1556
846	8558	1545
847	8567	1535
848	8578	1525
849	8588	1515
850	8597	1505
851	8607	1495
852	8616	1484
853	8627	1474
854	8636	1464
855	8646	1454
856	8655	1444
857	8665	1434
858	8674	1423
859	8683	1413
860	8693	1403
861	8701	1393
862	8711	1382
863	8720	1372
864	8730	1362
865	8740	1352
866	8750	1342
867	8760	1332
868	8770	1322
869	8780	1312
870	8789	1301
871	8798	1291
872	8807	1281
873	8817	1271
874	8826	1260
875	8836	1250
876	8845	1240
877	8854	1230
878	8864	1220
879	8873	1210
880	8882	1199
881	8891	1189
882	8904	1179
883	8913	1169
884	8923	1159
885	8932	1149
886	8942	1139
887	8951	1128
888	8959	1118
889	8968	1108
890	8977	1098
891	8986	1088
892	8995	1077
893	9005	1067
894	9014	1057
895	9024	1047
896	9034	1037
897	9043	1027
898	9053	1017
899	9062	1006
900	9072	996
901	9082	986
902	9094	976
903	9104	966
904	9114	956
905	9125	946
906	9134	936
907	9144	926
908	9153	916
909	9163	906
910	9172	896
911	9182	886
912	9192	875
913	9203	865
914	9212	855
915	9224	845
916	9233	835
917	9243	825
918	9253	815
919	9263	805
920	9273	795
921	9283	785
922	9292	775
923	9301	765
924	9310	754
925	9320	744
926	9330	734
927	9341	724
928	9350	714
929	9359	704
930	9368	694
931	9378	684
932	9387	674
933	9399	664
934	9409	654
935	9420	644
936	9430	634
937	9440	623
938	9449	613
939	9459	603
940	9469	593
941	9482	583
942	9492	573
943	9503	563
944	9512	553
945	9521	543
946	9531	533
947	9540	523
948	9549	513
949	9560	503
950	9568	493
951	9578	482
952	9587	472
953	9596	462
954	9607	452
955	9617	442
956	9626	432
957	9635	422
958	9643	412
959	9652	402
960	9661	392
961	9670	381
962	9679	371
963	9688	361
964	9698	351
965	9707	341
966	9716	331
967	9725	321
968	9735	311
969	9744	301
970	9752	291
971	9762	281
972	9770	271
973	9780	261
974	9790	251
975	9799	240
976	9808	230
977	9817	220
978	9825	210
979	9834	200
980	9843	190
981	9852	180
982	9861	170
983	9870	160
984	9879	150
985	9888	140
986	9897	130
987	9906	120
988	9915	110
989	9924	100
990	9932	90
991	9942	80
992	9951	70
993	9960	60
994	9969	50
995	9978	40
996	9987	30
997	9996	20
998	10005	10
999	10014	0
